,Review,Kategori,Polarity,Restaurant,preprocessed_sentence_lemma,preprocessed_sentence,aspect_prediction,opinion_term_prediction,entity_prediction
336,"Spacious and comfy, comes with good concept",Ambience,positive,Plataran Dharmawangsa,spacious comfy come good concept,"spacious and comfy , comes with good concept",[['concept']],"[['spacious', 'comfy', 'good']]",['AMBIENCE']
337,Staff members also nice.,Service,positive,Plataran Dharmawangsa,staff member also nice,staff members also nice .,"[['staff', 'member']]",[['nice']],['SERVICE']
338,My client and me very satisfaction about their food,Food,positive,Plataran Dharmawangsa,client satisfaction food,my client and me very satisfaction about their food,[],[],[]
339,The rate is not to expensive but very reasonable,Price,positive,Plataran Dharmawangsa,rate expensive reasonable,the rate is not to expensive but very reasonable,[['rate']],"[['expensive', 'reasonable']]",['PRICE']
340,Plataran Darmawangsa has traditional decoration and comfortable,Ambience,positive,Plataran Dharmawangsa,plataran darmawangsa traditional decoration comfortable,plataran darmawangsa has traditional decoration and comfortable,"[['plataran', 'darmawangsa', 'decoration']]","[['traditional', 'comfortable']]",['FOOD']
341,the food is exceptional.,Food,positive,Plataran Dharmawangsa,food exceptional,the food is exceptional .,[['food']],[['exceptional']],['FOOD']
342,"The location is great, but the parking lot should be improved",Ambience,positive,Plataran Dharmawangsa,location great parking lot improve,"the location is great , but the parking lot should be improved","[['location'], ['parking', 'lot']]","[['great'], ['improve']]","['AMBIENCE', 'PRICE']"
343, Garden was nicely decorated with a shower of little lamps,Ambience,positive,Plataran Dharmawangsa,garden nicely decorate shower little lamp,garden was nicely decorated with a shower of little lamps,[['garden']],[['nicely']],['FOOD']
344,Food were quite tasty.,Food,positive,Plataran Dharmawangsa,food quite tasty,food were quite tasty .,[['food']],[['tasty']],['FOOD']
345,Nice food with great atmosphere,"Food, Ambience","positive, positive",Plataran Dharmawangsa,nice food great atmosphere,nice food with great atmosphere,"[['food'], ['atmosphere']]","[['nice'], ['great']]","['FOOD', 'AMBIENCE']"
346,Very authentic and local setting,Ambience,positive,Plataran Dharmawangsa,authentic local setting,very authentic and local setting,[['setting']],"[['authentic', 'local']]",['PRICE']
347,"Service was great, staff were pleasant and friendly",Service,positive,Plataran Dharmawangsa,service great staff pleasant friendly,"service was great , staff were pleasant and friendly","[['service'], ['staff']]","[['great', 'pleasant', 'friendly'], ['pleasant', 'friendly']]","['SERVICE', 'SERVICE']"
348,The duck curry was one of the best dish,Food,positive,Plataran Dharmawangsa,duck curry one best dish,the duck curry was one of the best dish,"[['duck', 'curry', 'dish']]",[['best']],['FOOD']
349,Plataran Dharmawangsa has been one of our favorite venues for nice and cozy,Ambience,positive,Plataran Dharmawangsa,plataran dharmawangsa one favorite venue nice cozy,plataran dharmawangsa has been one of our favorite venues for nice and cozy,"[['plataran', 'dharmawangsa', 'venue']]","[['favorite', 'nice', 'cozy']]",['SERVICE']
350,They served very good food,Food,positive,Plataran Dharmawangsa,serve good food,they served very good food,[['food']],[['good']],['FOOD']
351,The service was great and on point,Service,positive,Plataran Dharmawangsa,service great point,the service was great and on point,[['service']],[['great']],['SERVICE']
352,The food was good and the ambience was also good,"Food, Ambience","positive, positive",Plataran Dharmawangsa,food good ambience also good,the food was good and the ambience was also good,"[['food'], ['ambience']]","[['good'], ['good']]","['FOOD', 'AMBIENCE']"
353,"Food (spicy Nasi Goreng, crab, chicken & Sate Ayam) was quite good, ambiance beautiful but limited to none staff flexibility and Indonesia untypical stiffness that was unexpected","Food, Ambience","positive, positive",Plataran Dharmawangsa,food spicy nasi goreng crab chicken sate ayam quite good ambiance beautiful limited none staff flexibility indonesia untypical stiffness unexpected,"food ( spicy nasi goreng , crab , chicken sate ayam ) was quite good , ambiance beautiful but limited to none staff flexibility and indonesia untypical stiffness that was unexpected","[['food', 'spicy', 'nasi', 'goreng', 'crab', 'chicken', 'ayam', 'ambiance']]","[['good', 'beautiful', 'limited', 'untypical', 'unexpected']]",['FOOD']
354,The décor is beautifully vintage Indonesian with indoor air conditionned seating as well as airy outdoors area,Ambience,positive,Plataran Dharmawangsa,décor beautifully vintage indonesian indoor air conditionned seating well airy outdoors area,the décor is beautifully vintage indonesian with indoor air conditionned seating as well as airy outdoors area,[['cor']],"[['beautifully', 'vintage', 'indonesian', 'indoor', 'well', 'airy']]",['AMBIENCE']
355,The food was good also...I'd recommend it for friend gathering as well as to introduce foreigners to Indonesian food and ambience...,Food,positive,Plataran Dharmawangsa,food good also recommend friend gathering well introduce foreigner indonesian food ambience,the food was good also ... i 'd recommend it for friend gathering as well as to introduce foreigners to indonesian food and ambience ...,[['food']],[['good']],['FOOD']
356,The beef brisket is top notch,Food,positive,Collage All Day Dining,beef brisket top notch,the beef brisket is top notch,"[['beef', 'brisket', 'notch']]",[['top']],['FOOD']
357,"Super yummy, tender, and well spiced.",Food,positive,Collage All Day Dining,super yummy tender well spiced,"super yummy , tender , and well spiced .",[],[],[]
358,"The food is very variety and taste above average, but the dessert especially the cakes taste so delicious and that raise the level to a very good restaurant",Food,positive,Collage All Day Dining,food variety taste average dessert especially cake taste delicious raise level good restaurant,"the food is very variety and taste above average , but the dessert especially the cakes taste so delicious and that raise the level to a very good restaurant","[['food', 'taste', 'average', 'dessert', 'cake', 'level'], ['cake']]","[['variety', 'delicious', 'good'], ['delicious']]","['FOOD', 'FOOD']"
359,"The selection and quality of food was just great; Indian, Japanese, French, Chinese, etc. ",Food,positive,Collage All Day Dining,selection quality food great indian japanese french chinese etc,"the selection and quality of food was just great indian , japanese , french , chinese , etc .","[['selection', 'quality', 'food', 'etc']]","[['great', 'indian', 'japanese', 'french', 'chinese']]",['FOOD']
360,The food of collage is fairly good,Food,positive,Collage All Day Dining,food collage fairly good,the food of collage is fairly good,"[['food', 'collage']]","[['fairly', 'good']]",['FOOD']
361,Great customer service,Service,positive,Collage All Day Dining,great customer service,great customer service,"[['customer', 'service']]",[['great']],['SERVICE']
362,Only drawback is the high price,Price,negative,Collage All Day Dining,drawback high price,only drawback is the high price,[['price']],"[['drawback', 'high']]",['PRICE']
363,the seafood paella is very good! I still in love with the wagyu and as always and should be with BBQ sauce and also the penne with cream that will be my always opening food! It was perfect.. yeah,Food,positive,Collage All Day Dining,seafood paella good still love wagyu always bbq sauce also penne cream always open food perfect yeah,the seafood paella is very good i still in love with the wagyu and as always and should be with bbq sauce and also the penne with cream that will be my always opening food it was perfect.. yeah,"[['seafood', 'paella', 'wagyu', 'bbq', 'sauce', 'penne', 'cream', 'food']]","[['good', 'love', 'perfect']]",['FOOD']
364,very love with the cozy and comfortable restaurant,Ambience,positive,Collage All Day Dining,love cozy comfortable restaurant,very love with the cozy and comfortable restaurant,[['restaurant']],"[['love', 'cozy', 'comfortable']]",['AMBIENCE']
365,but overall I like the sushi and sashimi also the seafood but it a little bit smelly but its have a very perfect taste,Food,positive,Collage All Day Dining,overall like sushi sashimi also seafood little bit smelly perfect taste,but overall i like the sushi and sashimi also the seafood but it a little bit smelly but its have a very perfect taste,[['taste']],[['perfect']],['FOOD']
366,the cappuccino was good,Food,positive,Collage All Day Dining,cappuccino good,the cappuccino was good,[['cappuccino']],[['good']],['FOOD']
367,The foods is good with the nice ambience and many variants of food,"Food, Ambience","positive, positive",Café Gran Via,food good nice ambience many variant food,the foods is good with the nice ambience and many variants of food,[['food']],"[['good', 'nice', 'many']]",['FOOD']
368, I like their nasi goreng chinese with ebi and many variants of ice creams for dessert with the french crepes,Food,positive,Café Gran Via,like nasi goreng chinese ebi many variant ice cream dessert french crepe,i like their nasi goreng chinese with ebi and many variants of ice creams for dessert with the french crepes,"[['nasi', 'goreng', 'ebi', 'variant', 'ice', 'cream', 'dessert', 'crepe']]","[['like', 'chinese', 'many', 'french']]",['FOOD']
369, I like their dimsum,Food,positive,Café Gran Via,like dimsum,i like their dimsum,[['dimsum']],[['like']],['FOOD']
370,The dessert also good,Food,positive,Café Gran Via,dessert also good,the dessert also good,[['dessert']],[['good']],['FOOD']
371,"Cafe Gran Via decorated beautiful and it offerred various menus from Indonesian, Chinese, Italian, Indian, Western and Japanese food","Ambience, Food","positive, positive",Café Gran Via,cafe gran via decorate beautiful offerred various menu indonesian chinese italian indian western japanese food,"cafe gran via decorated beautiful and it offerred various menus from indonesian , chinese , italian , indian , western and japanese food","[['cafe', 'gran', 'menu']]","[['beautiful', 'various', 'indonesian', 'chinese', 'italian', 'indian', 'western', 'japanese']]",['AMBIENCE']
372,"The cafe itself looks good, well designed with sumptuous use of rich colour.",Ambience,positive,Café Gran Via,cafe look good well design sumptuous use rich colour,"the cafe itself looks good , well designed with sumptuous use of rich colour .",[['cafe']],"[['good', 'well', 'sumptuous', 'rich']]",['AMBIENCE']
373,The eating options are really quite varied,Food,positive,Café Gran Via,eating option really quite varied,the eating options are really quite varied,"[['eating', 'option']]",[['varied']],['FOOD']
374,The price does reflect the offerings so is not cheap,Price,positive,Café Gran Via,price reflect offering cheap,the price does reflect the offerings so is not cheap,"[['price', 'offering'], ['offering']]","[['cheap'], ['cheap']]","['PRICE', 'SERVICE']"
375, It is a quality place to conduct business in a pleasant surround with good food,Food,positive,Café Gran Via,quality place conduct business pleasant surround good food,it is a quality place to conduct business in a pleasant surround with good food,"[['quality', 'place', 'business', 'food'], ['business']]","[['pleasant', 'good'], ['pleasant']]","['AMBIENCE', 'SERVICE']"
